Município;Dose;Total Doses Aplicadas
ZACARIAS;UNICA;74
VOTUPORANGA;UNICA;2369
VOTORANTIM;UNICA;3335
VITÓRIA BRASIL;UNICA;38
VISTA ALEGRE DO ALTO;UNICA;266
VIRADOURO;UNICA;488
VINHEDO;UNICA;2367
VERA CRUZ;UNICA;197
VÁRZEA PAULISTA;UNICA;4059
VARGEM GRANDE PAULISTA;UNICA;1438
VARGEM GRANDE DO SUL;UNICA;1025
VARGEM;UNICA;261
VALPARAÍSO;UNICA;628
VALINHOS;UNICA;3583
VALENTIM GENTIL;UNICA;436
URUPÊS;UNICA;373
URU;UNICA;31
URÂNIA;UNICA;240
UNIÃO PAULISTA;UNICA;38
UCHOA;UNICA;242
UBIRAJARA;UNICA;110
UBATUBA;UNICA;2325
UBARANA;UNICA;169
TURMALINA;UNICA;26
TURIÚBA;UNICA;39
TUPI PAULISTA;UNICA;388
TUPÃ;UNICA;1423
TUIUTI;UNICA;190
TRÊS FRONTEIRAS;UNICA;141
TREMEMBÉ;UNICA;1295
TRABIJU;UNICA;35
TORRINHA;UNICA;267
TORRE DE PEDRA;UNICA;59
TIMBURI;UNICA;46
TIETÊ;UNICA;1140
TERRA ROXA;UNICA;253
TEODORO SAMPAIO;UNICA;685
TEJUPÁ;UNICA;97
TAUBATÉ;UNICA;8879
TATUÍ;UNICA;3188
TARUMÃ;UNICA;419
TARABAI;UNICA;210
TAQUARIVAÍ;UNICA;136
TAQUARITUBA;UNICA;511
TAQUARITINGA;UNICA;1351
TAQUARAL;UNICA;59
TAPIRATIBA;UNICA;296
TAPIRAÍ;UNICA;156
TANABI;UNICA;637
TAMBAÚ;UNICA;585
TAIÚVA;UNICA;242
TAIAÇU;UNICA;156
TAGUAÍ;UNICA;353
TACIBA;UNICA;197
TABOÃO DA SERRA;UNICA;7907
TABATINGA;UNICA;567
TABAPUÃ;UNICA;274
SUZANO;UNICA;7753
SUZANÁPOLIS;UNICA;77
SUMARÉ;UNICA;8868
SUD MENNUCCI;UNICA;198
SOROCABA;UNICA;19609
SOCORRO;UNICA;1000
SILVEIRAS;UNICA;169
SEVERÍNIA;UNICA;528
SETE BARRAS;UNICA;266
SERTÃOZINHO;UNICA;3618
SERRA NEGRA;UNICA;638
SERRA AZUL;UNICA;214
SEBASTIANÓPOLIS DO SUL;UNICA;87
SARUTAIÁ;UNICA;66
SARAPUÍ;UNICA;266
SÃO VICENTE;UNICA;7793
SÃO SIMÃO;UNICA;374
SÃO SEBASTIÃO DA GRAMA;UNICA;299
SÃO SEBASTIÃO;UNICA;2463
SÃO ROQUE;UNICA;2159
SÃO PEDRO DO TURVO;UNICA;168
SÃO PEDRO;UNICA;813
SÃO PAULO;UNICA;357548
SÃO MIGUEL ARCANJO;UNICA;895
SÃO MANUEL;UNICA;1054
SÃO LUIZ DO PARAITINGA;UNICA;246
SÃO LOURENÇO DA SERRA;UNICA;394
SÃO JOSÉ DOS CAMPOS;UNICA;18061
SÃO JOSÉ DO RIO PRETO;UNICA;13649
SÃO JOSÉ DO RIO PARDO;UNICA;1279
SÃO JOSÉ DO BARREIRO;UNICA;88
SÃO JOSÉ DA BELA VISTA;UNICA;231
SÃO JOAQUIM DA BARRA;UNICA;1444
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;36
SÃO JOÃO DAS DUAS PONTES;UNICA;62
SÃO JOÃO DA BOA VISTA;UNICA;2179
SÃO FRANCISCO;UNICA;44
SÃO CARLOS;UNICA;7659
SÃO CAETANO DO SUL;UNICA;5008
SÃO BERNARDO DO CAMPO;UNICA;22671
SÃO BENTO DO SAPUCAÍ;UNICA;260
SANTOS;UNICA;8215
SANTÓPOLIS DO AGUAPEÍ;UNICA;164
SANTO EXPEDITO;UNICA;62
SANTO ANTÔNIO DO PINHAL;UNICA;149
SANTO ANTÔNIO DO JARDIM;UNICA;197
SANTO ANTÔNIO DO ARACANGUÁ;UNICA;243
SANTO ANTÔNIO DE POSSE;UNICA;657
SANTO ANTÔNIO DA ALEGRIA;UNICA;162
SANTO ANDRÉ;UNICA;18701
SANTO ANASTÁCIO;UNICA;521
SANTANA DE PARNAÍBA;UNICA;3971
SANTANA DA PONTE PENSA;UNICA;43
SANTA SALETE;UNICA;32
SANTA ROSA DE VITERBO;UNICA;691
SANTA RITA DO PASSA QUATRO;UNICA;554
SANTA RITA D'OESTE;UNICA;59
SANTA MERCEDES;UNICA;60
SANTA MARIA DA SERRA;UNICA;180
SANTA LÚCIA;UNICA;249
SANTA ISABEL;UNICA;1303
SANTA GERTRUDES;UNICA;764
SANTA FÉ DO SUL;UNICA;727
SANTA ERNESTINA;UNICA;167
SANTA CRUZ DO RIO PARDO;UNICA;1020
SANTA CRUZ DAS PALMEIRAS;UNICA;1025
SANTA CRUZ DA ESPERANÇA;UNICA;45
SANTA CRUZ DA CONCEIÇÃO;UNICA;113
SANTA CLARA D'OESTE;UNICA;34
SANTA BRANCA;UNICA;361
SANTA BÁRBARA D'OESTE;UNICA;5528
SANTA ALBERTINA;UNICA;135
SANTA ADÉLIA;UNICA;428
SANDOVALINA;UNICA;83
SALTO GRANDE;UNICA;227
SALTO DE PIRAPORA;UNICA;1357
SALTO;UNICA;3317
SALTINHO;UNICA;273
SALMOURÃO;UNICA;133
SALESÓPOLIS;UNICA;469
SALES OLIVEIRA;UNICA;293
SALES;UNICA;147
SAGRES;UNICA;45
SABINO;UNICA;137
RUBINÉIA;UNICA;67
RUBIÁCEA;UNICA;50
ROSEIRA;UNICA;339
ROSANA;UNICA;412
RIVERSUL;UNICA;117
RIOLÂNDIA;UNICA;279
RIO GRANDE DA SERRA;UNICA;1531
RIO DAS PEDRAS;UNICA;989
RIO CLARO;UNICA;5185
RINÓPOLIS;UNICA;272
RINCÃO;UNICA;308
RIFAINA;UNICA;96
RIBEIRÃO PRETO;UNICA;20790
RIBEIRÃO PIRES;UNICA;3385
RIBEIRÃO GRANDE;UNICA;179
RIBEIRÃO DOS ÍNDIOS;UNICA;44
RIBEIRÃO DO SUL;UNICA;83
RIBEIRÃO CORRENTE;UNICA;144
RIBEIRÃO BRANCO;UNICA;418
RIBEIRÃO BONITO;UNICA;322
RIBEIRA;UNICA;61
RESTINGA;UNICA;174
REGISTRO;UNICA;1163
REGINÓPOLIS;UNICA;83
REGENTE FEIJÓ;UNICA;482
REDENÇÃO DA SERRA;UNICA;86
RANCHARIA;UNICA;727
RAFARD;UNICA;254
QUINTANA;UNICA;152
QUELUZ;UNICA;302
QUEIROZ;UNICA;86
QUATÁ;UNICA;346
QUADRA;UNICA;137
PROMISSÃO;UNICA;1069
PRESIDENTE VENCESLAU;UNICA;973
PRESIDENTE PRUDENTE;UNICA;5332
PRESIDENTE EPITÁCIO;UNICA;939
PRESIDENTE BERNARDES;UNICA;254
PRESIDENTE ALVES;UNICA;104
PRATÂNIA;UNICA;129
PRAIA GRANDE;UNICA;8381
PRADÓPOLIS;UNICA;689
PRACINHA;UNICA;11
POTIRENDABA;UNICA;511
POTIM;UNICA;549
PORTO FERREIRA;UNICA;1417
PORTO FELIZ;UNICA;1413
PORANGABA;UNICA;228
POPULINA;UNICA;86
PONTES GESTAL;UNICA;62
PONTALINDA;UNICA;112
PONTAL;UNICA;1668
PONGAÍ;UNICA;84
POMPÉIA;UNICA;554
POLONI;UNICA;205
POÁ;UNICA;3003
PLATINA;UNICA;77
PLANALTO;UNICA;141
PITANGUEIRAS;UNICA;1185
PIRATININGA;UNICA;346
PIRASSUNUNGA;UNICA;1727
PIRAPOZINHO;UNICA;577
PIRAPORA DO BOM JESUS;UNICA;456
PIRANGI;UNICA;286
PIRAJUÍ;UNICA;592
PIRAJU;UNICA;580
PIRACICABA;UNICA;11241
PIRACAIA;UNICA;759
PIQUETE;UNICA;354
PIQUEROBI;UNICA;56
PINHALZINHO;UNICA;406
PINDORAMA;UNICA;431
PINDAMONHANGABA;UNICA;4576
PILAR DO SUL;UNICA;730
PIEDADE;UNICA;1598
PIACATU;UNICA;141
PERUÍBE;UNICA;1418
PEREIRAS;UNICA;220
PEREIRA BARRETO;UNICA;586
PENÁPOLIS;UNICA;1345
PEDRO DE TOLEDO;UNICA;208
PEDRINHAS PAULISTA;UNICA;56
PEDREIRA;UNICA;1415
